,Date,CPI,Unemployment_Rate,G10Yield,G5Yield,G3Yield,EURUSD,GBPUSD,USDCHF,USDJPY,SP500_Close
0,2000-01-01,169.3,4.0,6.66,6.58,6.49,1.0155,1.627,1.5808,101.7,1366.42
1,2000-02-01,170.0,4.1,6.52,6.68,6.65,0.9731,1.615,1.654,107.67,1498.58
2,2000-03-01,171.0,4.0,6.26,6.5,6.53,0.97,1.5849,1.6568,107.1,1452.43
3,2000-04-01,170.9,3.8,5.99,6.26,6.36,0.956,1.598,1.6587,104.82,1420.6
4,2000-05-01,171.2,4.0,6.44,6.69,6.77,0.912,1.5558,1.7135,108.89,1454.6
5,2000-06-01,172.2,4.0,6.1,6.3,6.43,0.9307,1.4915,1.6878,108.74,1430.83
6,2000-07-01,172.7,4.0,6.05,6.18,6.28,0.9526,1.5135,1.6323,105.64,1517.68
7,2000-08-01,172.7,4.1,5.83,6.06,6.17,0.9228,1.4992,1.6758,109.47,1436.51
8,2000-09-01,173.6,3.9,5.8,5.93,6.02,0.8993,1.4605,1.723,105.78,1429.4
9,2000-10-01,173.9,3.9,5.74,5.78,5.85,0.8806,1.4675,1.7322,108.81,1314.95
10,2000-11-01,174.2,3.9,5.72,5.7,5.79,0.8584,1.4452,1.7765,108.48,1320.28
11,2000-12-01,174.6,3.9,5.24,5.17,5.26,0.8765,1.4373,1.7285,111.15,1366.01
12,2001-01-01,175.6,4.2,5.16,4.86,4.77,0.9465,1.4977,1.6075,114.73,1239.94
13,2001-02-01,176.0,4.2,5.1,4.89,4.71,0.9384,1.4775,1.633,115.33,1160.33
14,2001-03-01,176.1,4.3,4.89,4.64,4.43,0.9291,1.4553,1.6557,117.33,1249.46
15,2001-04-01,176.4,4.4,5.14,4.76,4.42,0.8824,1.42,1.7317,126.75,1255.82
16,2001-05-01,177.3,4.3,5.39,4.93,4.51,0.8937,1.434,1.7255,121.92,1224.38
17,2001-06-01,177.7,4.5,5.28,4.81,4.35,0.8452,1.416,1.7992,119.13,1211.23
18,2001-07-01,177.4,4.6,5.24,4.76,4.31,0.8455,1.4168,1.8003,124.22,1133.58
19,2001-08-01,177.4,4.9,4.97,4.57,4.04,0.8793,1.433,1.7158,124.87,1040.94
20,2001-09-01,178.1,5.0,4.73,4.12,3.45,0.8868,1.4444,1.7075,119.49,1059.78
21,2001-10-01,177.6,5.3,4.57,3.91,3.14,0.9159,1.4785,1.6196,120.27,1139.45
22,2001-11-01,177.5,5.5,4.65,3.97,3.22,0.9044,1.462,1.6295,121.87,1148.08
23,2001-12-01,177.4,5.7,5.09,4.39,3.62,0.8897,1.4217,1.655,123.9,1130.2
24,2002-01-01,177.7,5.7,5.04,4.34,3.56,0.9031,1.4451,1.6424,132.02,1106.73
25,2002-02-01,178.0,5.7,4.91,4.3,3.55,0.8613,1.4158,1.7179,133.77,1147.39
26,2002-03-01,178.5,5.7,5.28,4.74,4.14,0.8652,1.419,1.706,133.35,1076.92
27,2002-04-01,179.3,5.9,5.21,4.65,4.01,0.8806,1.4407,1.6607,133.32,1067.14
28,2002-05-01,179.5,5.8,5.16,4.49,3.8,0.9062,1.4621,1.601,127.45,989.82
29,2002-06-01,179.6,5.8,4.93,4.19,3.49,0.939,1.4622,1.5638,123.69,911.62
30,2002-07-01,180.0,5.8,4.65,3.81,3.01,0.9893,1.5307,1.4845,120.04,916.07
31,2002-08-01,180.5,5.7,4.26,3.29,2.52,0.9843,1.5578,1.4703,119.1,815.28
32,2002-09-01,180.8,5.7,3.87,2.94,2.32,0.9959,1.5625,1.473,117.12,885.76
33,2002-10-01,181.2,5.7,3.94,2.95,2.25,0.9859,1.5708,1.4793,122.73,936.31
34,2002-11-01,181.5,5.9,4.05,3.05,2.32,0.9971,1.5638,1.4673,122.16,879.82
35,2002-12-01,181.8,6.0,4.03,3.03,2.23,0.9927,1.5555,1.4845,124.61,855.7
36,2003-01-01,182.6,5.8,4.05,3.05,2.18,1.0361,1.5975,1.4015,119.86,841.15
37,2003-02-01,183.6,5.9,3.9,2.9,2.05,1.0761,1.6405,1.3631,120.47,848.18
38,2003-03-01,183.9,5.9,3.81,2.78,1.98,1.0835,1.5755,1.3468,117.93,916.92
39,2003-04-01,183.2,6.0,3.96,2.93,2.06,1.0904,1.5767,1.3537,118.25,963.59
40,2003-05-01,182.9,6.1,3.57,2.52,1.75,1.1238,1.6103,1.342,118.56,974.5
41,2003-06-01,183.1,6.3,3.33,2.27,1.51,1.1744,1.6372,1.2973,118.52,990.31
42,2003-07-01,183.7,6.2,3.98,2.87,1.93,1.158,1.6626,1.3412,119.45,1008.01
43,2003-08-01,184.5,6.1,4.45,3.37,2.44,1.1252,1.6045,1.3668,120.0,995.97
44,2003-09-01,185.1,6.1,4.27,3.18,2.23,1.0872,1.574,1.4125,116.15,1050.71
45,2003-10-01,184.9,6.0,4.29,3.19,2.26,1.1708,1.6667,1.3148,110.61,1058.2
46,2003-11-01,185.0,5.8,4.3,3.29,2.45,1.1454,1.6786,1.3607,111.2,1111.92
47,2003-12-01,185.5,5.7,4.27,3.27,2.44,1.1956,1.7209,1.3003,109.61,1131.13
48,2004-01-01,186.3,5.7,4.15,3.12,2.27,1.2592,1.7902,1.239,106.95,1144.94
49,2004-02-01,186.7,5.6,4.08,3.07,2.25,1.2426,1.8182,1.2628,105.59,1126.21
50,2004-03-01,187.1,5.8,3.83,2.79,2.0,1.2431,1.868,1.2703,108.93,1107.3
51,2004-04-01,187.4,5.6,4.35,3.39,2.57,1.2358,1.8564,1.2627,103.7,1120.68
52,2004-05-01,188.2,5.6,4.72,3.85,3.1,1.1937,1.772,1.301,110.34,1140.84
53,2004-06-01,188.9,5.6,4.73,3.93,3.26,1.221,1.8359,1.251,110.45,1101.72
54,2004-07-01,189.1,5.5,4.5,3.69,3.05,1.2158,1.816,1.2509,108.24,1104.24
55,2004-08-01,189.2,5.4,4.28,3.47,2.88,1.2034,1.8273,1.2784,111.08,1114.58
56,2004-09-01,189.8,5.4,4.13,3.36,2.83,1.2179,1.794,1.2615,109.62,1130.2
57,2004-10-01,190.8,5.5,4.1,3.35,2.85,1.24,1.7976,1.2496,110.45,1173.82
58,2004-11-01,191.7,5.4,4.19,3.53,3.09,1.2741,1.8323,1.2028,106.41,1211.92
59,2004-12-01,191.7,5.4,4.23,3.6,3.21,1.3308,1.9297,1.144,102.78,1181.27
60,2005-01-01,191.6,5.3,4.22,3.71,3.39,1.3476,1.9058,1.1466,102.83,1203.6
61,2005-02-01,192.4,5.4,4.17,3.77,3.54,1.3017,1.8792,1.1937,103.93,1180.59
62,2005-03-01,193.1,5.2,4.5,4.17,3.91,1.3189,1.9206,1.1654,104.37,1156.85
63,2005-04-01,193.7,5.2,4.34,4.0,3.79,1.2896,1.8789,1.2042,107.57,1191.5
64,2005-05-01,193.6,5.1,4.14,3.85,3.72,1.2857,1.8959,1.198,105.07,1191.33
65,2005-06-01,193.7,5.0,4.0,3.77,3.69,1.2232,1.812,1.2529,108.42,1234.18
66,2005-07-01,194.9,5.0,4.18,3.98,3.91,1.1957,1.7708,1.2965,111.68,1220.33
67,2005-08-01,196.1,4.9,4.26,4.12,4.08,1.2195,1.7695,1.278,112.12,1228.81
68,2005-09-01,198.8,5.0,4.2,4.01,3.96,1.2447,1.8279,1.24,110.16,1207.01
69,2005-10-01,199.1,5.0,4.46,4.33,4.29,1.1914,1.7558,1.3022,114.17,1249.48
70,2005-11-01,198.1,5.0,4.54,4.45,4.43,1.1998,1.763,1.2903,116.63,1248.29
71,2005-12-01,198.1,4.9,4.47,4.39,4.39,1.1702,1.729,1.321,120.62,1280.08
72,2006-01-01,199.3,4.7,4.42,4.35,4.35,1.198,1.7404,1.2938,116.34,1280.66
73,2006-02-01,199.4,4.8,4.57,4.57,4.64,1.2092,1.7781,1.2841,117.85,1294.87
74,2006-03-01,199.7,4.7,4.72,4.72,4.74,1.1899,1.7473,1.3165,116.18,1310.61
